userID,itemNo,responseNo,checked,responseText,responseTime
00121933,4,3,0,,3649
00121933,4,4,1,,3649
00121933,4,5,0,,3649
00121933,5,1,1,,3184
00121933,5,2,0,,3184
00121933,5,3,0,,3184
00121933,5,4,0,,3184
00121933,5,5,0,,3184
00121933,6,1,1,,3699
00121933,6,2,0,,3699
00121933,7,-1,-1,Erase first then add later,13767
00121933,8,1,0,,3551
00121933,8,2,1,,3551
00121933,9,-1,-1,,2418
00121933,10,-1,-1,None,3832
00141053,2,1,0,,13606
00141053,2,2,0,,13606
00141053,2,3,0,,13606
00141053,2,4,0,,13606
00141053,2,5,1,,13606
00141053,3,1,0,,6436
00141053,3,2,0,,6436
00141053,3,3,0,,6436
00141053,3,4,1,,6436
00141053,3,5,0,,6436
00141053,4,1,0,,5937
00141053,4,2,0,,5937
00141053,4,3,1,,5937
00141053,4,4,0,,5937
00141053,4,5,0,,5937
00141053,5,1,1,,3204
00141053,5,2,0,,3204
00141053,5,3,0,,3204
00141053,5,4,0,,3204
00141053,5,5,0,,3204
00141053,6,1,0,,3762
00141053,6,2,1,,3762
00141053,7,-1,-1,,4258
00141053,8,1,0,,6685
00141053,8,2,1,,6685
00141053,9,-1,-1,,4350
00141053,10,-1,-1,,24762
00215359,2,1,0,,7601
00215359,2,2,0,,7601
00215359,2,3,0,,7601
00215359,2,4,1,,7601
00215359,2,5,0,,7601
00215359,3,1,0,,5581
00215359,3,2,1,,5581
00215359,3,3,0,,5581
00215359,3,4,0,,5581
00215359,3,5,0,,5581
00215359,4,1,0,,6278
00215359,4,2,0,,6278
00215359,4,3,0,,6278
00215359,4,4,1,,6278
00215359,4,5,0,,6278
00215359,5,1,1,,2847
00215359,5,2,0,,2847
00215359,5,3,0,,2847
00215359,5,4,0,,2847
00215359,5,5,0,,2847
00215359,6,1,0,,4016
00215359,6,2,1,,4016
00215359,7,-1,-1,I just tried to remove or add anything that was widely different between the numbers. Like a 1 and 7 for instance the line might not be straight but the most important thing is a long roof that differentiates the 1 and 7.,95707
00215359,8,1,1,,5522
00215359,8,2,0,,5522
00215359,9,-1,-1,I believe having a goal of lowest possible percent would have allowed for less changes and allowed for more creativity.,57399
00215359,10,-1,-1,,2066
00238698,2,1,0,,6605
00238698,2,2,0,,6605
00238698,2,3,0,,6605
00238698,2,4,0,,6605
00238698,2,5,1,,6605
00238698,3,1,1,,3974
00238698,3,2,0,,3974
00238698,3,3,0,,3974
00238698,3,4,0,,3974
00238698,3,5,0,,3974
00238698,4,1,0,,3374
00238698,4,2,0,,3374
00238698,4,3,0,,3374
00238698,4,4,0,,3374
00238698,4,5,1,,3374
00238698,5,1,1,,3881
00238698,5,2,0,,3881
00238698,5,3,0,,3881
00238698,5,4,0,,3881
00238698,5,5,0,,3881
00238698,6,1,0,,4174
00238698,6,2,1,,4174
00238698,7,-1,-1,,4029
00238698,8,1,0,,5942
00238698,8,2,1,,5942
00238698,9,-1,-1,,3203
00238698,10,-1,-1,,2908
00255015,2,1,0,,12238
00255015,2,2,0,,12238
00255015,2,3,0,,12238
00255015,2,4,0,,12238
00255015,2,5,1,,12238
00255015,3,1,0,,9092
00255015,3,2,1,,9092
00255015,3,3,0,,9092
00255015,3,4,0,,9092
00255015,3,5,0,,9092
00255015,4,1,0,,5991
00255015,4,2,0,,5991
00255015,4,3,0,,5991
00255015,4,4,1,,5991
00255015,4,5,0,,5991
00255015,5,1,1,,5984
00255015,5,2,0,,5984
00255015,5,3,0,,5984
00255015,5,4,0,,5984
00255015,5,5,0,,5984
00255015,6,1,0,,4371
00255015,6,2,1,,4371
00255015,7,-1,-1,,3136
00255015,8,1,1,,6904
00255015,8,2,0,,6904
00255015,9,-1,-1,,4217
00255015,10,-1,-1,,2065
00307393,2,1,0,,7810
00307393,2,2,0,,7810
00307393,2,3,0,,7810
00307393,2,4,1,,7810
00307393,2,5,0,,7810
00307393,3,1,0,,5649
00307393,3,2,1,,5649
00307393,3,3,0,,5649
00307393,3,4,0,,5649
00307393,3,5,0,,5649
00307393,4,1,0,,5603
00307393,4,2,0,,5603
00307393,4,3,0,,5603
00307393,4,4,1,,5603
00307393,4,5,0,,5603
00307393,5,1,1,,4027
00307393,5,2,0,,4027
00307393,5,3,0,,4027
00307393,5,4,0,,4027
00307393,5,5,0,,4027
00307393,6,1,1,,7560
00307393,6,2,0,,7560
00307393,7,-1,-1,I tried to use visualize the new symbol and compare where their lines would be similarly placed and kept the parts that overlapped. ,41409
00307393,8,1,1,,7819
00307393,8,2,0,,7819
00307393,9,-1,-1,It made me feel like I was overdoing it. I feel like I could have been more accurate if I wasn't so busy trying to minimize the usage. ,32041
00307393,10,-1,-1,nope,4305
00349986,2,1,0,,7847
00349986,2,2,0,,7847
00349986,2,3,0,,7847
00349986,2,4,1,,7847
00349986,2,5,0,,7847
00349986,3,1,0,,5249
00349986,3,2,1,,5249
00349986,3,3,0,,5249
00349986,3,4,0,,5249
00349986,3,5,0,,5249
00349986,4,1,0,,5855
00349986,4,2,0,,5855
00349986,4,3,0,,5855
00349986,4,4,1,,5855
00349986,4,5,0,,5855
00349986,5,1,1,,5168
00349986,5,2,0,,5168
00349986,5,3,0,,5168
00349986,5,4,0,,5168
00349986,5,5,0,,5168
00349986,6,1,1,,5216
00349986,6,2,0,,5216
00349986,7,-1,-1,Focus how to use the most dark squares for the new symbol as it requires less changes,33727
00349986,8,1,0,,4440
00349986,8,2,1,,4440
00349986,9,-1,-1,It didn't affect,13794
00349986,10,-1,-1,I think it is a really good tool,11184
00415292,2,1,0,,6365
00415292,2,2,0,,6365
00415292,2,3,0,,6365
00415292,2,4,0,,6365
00415292,2,5,1,,6365
00415292,3,1,1,,4613
00415292,3,2,0,,4613
00415292,3,3,0,,4613
00415292,3,4,0,,4613
00415292,3,5,0,,4613
00415292,4,1,0,,2847
00415292,4,2,0,,2847
00415292,4,3,0,,2847
00415292,4,4,0,,2847
00415292,4,5,1,,2847
00415292,5,1,1,,2783
00415292,5,2,0,,2783
00415292,5,3,0,,2783
00415292,5,4,0,,2783
00415292,5,5,0,,2783
00415292,6,1,0,,2247
00415292,6,2,1,,2247
00415292,7,-1,-1,,3040
00415292,8,1,0,,3201
00415292,8,2,1,,3201
00415292,9,-1,-1,,3112
00415292,10,-1,-1,,2016
00424031,2,1,0,,6809
00424031,2,2,0,,6809
00424031,2,3,0,,6809
00424031,2,4,0,,6809
00424031,2,5,1,,6809
00424031,3,1,1,,5909
00424031,3,2,0,,5909
00424031,3,3,0,,5909
00424031,3,4,0,,5909
00424031,3,5,0,,5909
00424031,4,1,0,,6618
00424031,4,2,0,,6618
00424031,4,3,0,,6618
00424031,4,4,0,,6618
00424031,4,5,1,,6618
00424031,5,1,1,,5705
00424031,5,2,0,,5705
00424031,5,3,0,,5705
00424031,5,4,0,,5705
00424031,5,5,0,,5705
00424031,6,1,1,,10439
00424031,6,2,0,,10439
00424031,7,-1,-1,i went for the largest area first,158313
00424031,8,1,0,,9703
00424031,8,2,1,,9703
00424031,9,-1,-1,,7794
00424031,10,-1,-1,make all the pixels the same shade,37950
00439906,2,1,0,,3832
00439906,2,2,0,,3832
00439906,2,3,0,,3832
00439906,2,4,0,,3832
00439906,2,5,1,,3832
00439906,3,1,0,,4224
00439906,3,2,1,,4224
00439906,3,3,0,,4224
00439906,3,4,0,,4224
00439906,3,5,0,,4224
00439906,4,1,0,,3439
00439906,4,2,0,,3439
00439906,4,3,0,,3439
00439906,4,4,1,,3439
00439906,4,5,0,,3439
00439906,5,1,1,,2032
00439906,5,2,0,,2032
00439906,5,3,0,,2032
00439906,5,4,0,,2032
00439906,5,5,0,,2032
00439906,6,1,0,,3218
00439906,6,2,1,,3218
00439906,7,-1,-1,,2903
00439906,8,1,0,,5841
00439906,8,2,1,,5841
00439906,9,-1,-1,,1559
00439906,10,-1,-1,,1791
00481409,2,1,0,,5252
00481409,2,2,0,,5252
00481409,2,3,0,,5252
00481409,2,4,0,,5252
00481409,2,5,1,,5252
00481409,3,1,0,,8244
00481409,3,2,1,,8244
00481409,3,3,0,,8244
00481409,3,4,0,,8244
00481409,3,5,0,,8244
00481409,4,1,0,,4957
00481409,4,2,0,,4957
00481409,4,3,0,,4957
00481409,4,4,0,,4957
00481409,4,5,1,,4957
00481409,5,1,1,,3383
00481409,5,2,0,,3383
00481409,5,3,0,,3383
00481409,5,4,0,,3383
00481409,5,5,0,,3383
00481409,6,1,0,,4077
00481409,6,2,1,,4077
00481409,7,-1,-1,,3039
00481409,8,1,0,,6309
00481409,8,2,1,,6309
00481409,9,-1,-1,,2280
00481409,10,-1,-1,,2028
00539500,2,1,0,,2201
00539500,2,2,0,,2201
00539500,2,3,0,,2201
00539500,2,4,0,,2201
00539500,2,5,1,,2201
00539500,3,1,1,,1830
00539500,3,2,0,,1830
00539500,3,3,0,,1830
00539500,3,4,0,,1830
00539500,3,5,0,,1830
00539500,4,1,0,,1345
00539500,4,2,0,,1345
00539500,4,3,0,,1345
00539500,4,4,1,,1345
00539500,4,5,0,,1345
00539500,5,1,1,,2774
00539500,5,2,0,,2774
00539500,5,3,0,,2774
00539500,5,4,0,,2774
00539500,5,5,0,,2774
00539500,6,1,0,,1739
00539500,6,2,1,,1739
00539500,7,-1,-1,,680
00539500,8,1,0,,1980
00539500,8,2,1,,1980
00539500,9,-1,-1,,608
00539500,10,-1,-1,,603
00554597,2,1,0,,5713
00554597,2,2,0,,5713
00554597,2,3,0,,5713
00554597,2,4,0,,5713
00554597,2,5,1,,5713
00554597,3,1,0,,4519
00554597,3,2,1,,4519
00554597,3,3,0,,4519
00554597,3,4,0,,4519
00554597,3,5,0,,4519
00554597,4,1,0,,4880
00554597,4,2,0,,4880
00554597,4,3,0,,4880
00554597,4,4,1,,4880
00554597,4,5,0,,4880
00554597,5,1,1,,2623
00554597,5,2,0,,2623
00554597,5,3,0,,2623
00554597,5,4,0,,2623
00554597,5,5,0,,2623
00554597,6,1,0,,5231
00554597,6,2,1,,5231
00554597,7,-1,-1,,3179
00554597,8,1,0,,3430
00554597,8,2,1,,3430
00554597,9,-1,-1,,3171
00554597,10,-1,-1,Really enjoyable study. The tool was extremely easy to use and get the hang of. Thank you!,17090
00655681,2,1,0,,8252
00655681,2,2,0,,8252
00655681,2,3,0,,8252
00655681,2,4,0,,8252
00655681,2,5,1,,8252
00655681,3,1,1,,6009
00655681,3,2,0,,6009
00655681,3,3,0,,6009
00655681,3,4,0,,6009
00655681,3,5,0,,6009
00655681,4,1,0,,7620
00655681,4,2,0,,7620
00655681,4,3,0,,7620
00655681,4,4,1,,7620
00655681,4,5,0,,7620
00655681,5,1,1,,6470
00655681,5,2,0,,6470
00655681,5,3,0,,6470
00655681,5,4,0,,6470
00655681,5,5,0,,6470
00655681,6,1,0,,6296
00655681,6,2,1,,6296
00655681,7,-1,-1,,6716
00655681,8,1,0,,9151
00655681,8,2,1,,9151
00655681,9,-1,-1,,4335
00655681,10,-1,-1,none. i enjoyed it.,19175
00732051,2,1,0,,9564
00732051,2,2,0,,9564
00732051,2,3,0,,9564
00732051,2,4,1,,9564
00732051,2,5,0,,9564
00732051,3,1,0,,8912
00732051,3,2,1,,8912
00732051,3,3,0,,8912
00732051,3,4,0,,8912
00732051,3,5,0,,8912
00732051,4,1,0,,14392
00732051,4,2,0,,14392
00732051,4,3,1,,14392
00732051,4,4,0,,14392
00732051,4,5,0,,14392
00732051,5,1,1,,5661
00732051,5,2,0,,5661
00732051,5,3,0,,5661
00732051,5,4,0,,5661
00732051,5,5,0,,5661
00732051,6,1,0,,4836
00732051,6,2,1,,4836
00732051,7,-1,-1,,9920
00732051,8,1,0,,7777
00732051,8,2,1,,7777
00732051,9,-1,-1,,5319
00732051,10,-1,-1,It was much more difficutl than I expected! But also very interesting. Thank you for allow me to try.,58579
00766021,2,1,1,,9286
00766021,2,2,0,,9286
00766021,2,3,0,,9286
00766021,2,4,0,,9286
00766021,2,5,0,,9286
00766021,3,1,1,,4449
00766021,3,2,0,,4449
00766021,3,3,0,,4449
00766021,3,4,0,,4449
00766021,3,5,0,,4449
00766021,4,1,0,,5586
00766021,4,2,0,,5586
00766021,4,3,0,,5586
00766021,4,4,0,,5586
00766021,4,5,1,,5586
00766021,5,1,1,,5871
00766021,5,2,0,,5871
00766021,5,3,0,,5871
00766021,5,4,0,,5871
00766021,5,5,0,,5871
00766021,6,1,0,,4363
00766021,6,2,1,,4363
00766021,7,-1,-1,,3137
00766021,8,1,0,,7614
00766021,8,2,1,,7614
00766021,9,-1,-1,,1884
00766021,10,-1,-1,,2436
00922757,2,1,0,,13939
00922757,2,2,0,,13939
00922757,2,3,0,,13939
00922757,2,4,1,,13939
00922757,2,5,0,,13939
00922757,3,1,0,,10374
00922757,3,2,0,,10374
00922757,3,3,1,,10374
00922757,3,4,0,,10374
00922757,3,5,0,,10374
00922757,4,1,0,,7842
00922757,4,2,0,,7842
00922757,4,3,0,,7842
00922757,4,4,1,,7842
00922757,4,5,0,,7842
00922757,5,1,1,,3541
00922757,5,2,0,,3541
00922757,5,3,0,,3541
00922757,5,4,0,,3541
00922757,5,5,0,,3541
00922757,6,1,0,,7767
00922757,6,2,1,,7767
00922757,7,-1,-1,,5916
00922757,8,1,1,,9816
00922757,8,2,0,,9816
00922757,9,-1,-1,I did more changes to the annotation,48353
00922757,10,-1,-1,,2773
00967351,2,1,0,,5232
00967351,2,2,0,,5232
00967351,2,3,0,,5232
00967351,2,4,0,,5232
00967351,2,5,1,,5232
00967351,3,1,1,,15977
00967351,3,2,0,,15977
00967351,3,3,0,,15977
00967351,3,4,0,,15977
00967351,3,5,0,,15977
00967351,4,1,0,,3231
00967351,4,2,0,,3231
00967351,4,3,0,,3231
00967351,4,4,0,,3231
00967351,4,5,1,,3231
00967351,5,1,1,,3464
00967351,5,2,0,,3464
00967351,5,3,0,,3464
00967351,5,4,0,,3464
00967351,5,5,0,,3464
00967351,6,1,0,,4186
00967351,6,2,1,,4186
00967351,7,-1,-1,,2294
00967351,8,1,0,,4920
00967351,8,2,1,,4920
00967351,9,-1,-1,,3298
00967351,10,-1,-1,,1934
00991333,2,1,0,,3448
00991333,2,2,0,,3448
00991333,2,3,0,,3448
00991333,2,4,0,,3448
00991333,2,5,1,,3448
00991333,3,1,1,,3087
00991333,3,2,0,,3087
00991333,3,3,0,,3087
00991333,3,4,0,,3087
00991333,3,5,0,,3087
00991333,4,1,0,,2834
00991333,4,2,0,,2834
00991333,4,3,0,,2834
00991333,4,4,0,,2834
00991333,4,5,1,,2834
00991333,5,1,1,,2494
00991333,5,2,0,,2494
00991333,5,3,0,,2494
00991333,5,4,0,,2494
00991333,5,5,0,,2494
00991333,6,1,0,,2099
00991333,6,2,1,,2099
00991333,7,-1,-1,N/A,5028
00991333,8,1,0,,4147
00991333,8,2,1,,4147
00991333,9,-1,-1,n/A,3775
00991333,10,-1,-1,N/A,3250
01000195,2,1,0,,6071
01000195,2,2,0,,6071
01000195,2,3,0,,6071
01000195,2,4,1,,6071
01000195,2,5,0,,6071
01000195,3,1,0,,5144
01000195,3,2,1,,5144
01000195,3,3,0,,5144
01000195,3,4,0,,5144
01000195,3,5,0,,5144
01000195,4,1,0,,5758
01000195,4,2,0,,5758
01000195,4,3,0,,5758
01000195,4,4,1,,5758
01000195,4,5,0,,5758
01000195,5,1,1,,5192
01000195,5,2,0,,5192
01000195,5,3,0,,5192
01000195,5,4,0,,5192
01000195,5,5,0,,5192
01000195,6,1,0,,5843
01000195,6,2,1,,5843
01000195,7,-1,-1,,10675
01000195,8,1,0,,4222
01000195,8,2,1,,4222
01000195,9,-1,-1,,2282
01000195,10,-1,-1,,4156
01010694,2,1,0,,6131
01010694,2,2,0,,6131
01010694,2,3,0,,6131
01010694,2,4,0,,6131
01010694,2,5,1,,6131
01010694,3,1,1,,3635
01010694,3,2,0,,3635
01010694,3,3,0,,3635
01010694,3,4,0,,3635
01010694,3,5,0,,3635
01010694,4,1,0,,4500
01010694,4,2,0,,4500
01010694,4,3,0,,4500
01010694,4,4,0,,4500
01010694,4,5,1,,4500
01010694,5,1,1,,3735
01010694,5,2,0,,3735
01010694,5,3,0,,3735
01010694,5,4,0,,3735
01010694,5,5,0,,3735
01010694,6,1,0,,3620
01010694,6,2,1,,3620
01010694,7,-1,-1,I didn't  I mostly just experimented. ,9663
01010694,8,1,0,,4114
01010694,8,2,1,,4114
01010694,9,-1,-1,It didn't since I was at least at 2% for all of them.,11085
01010694,10,-1,-1,N/A,5081
01034408,2,1,0,,13170
01034408,2,2,0,,13170
01034408,2,3,0,,13170
01034408,2,4,0,,13170
01034408,2,5,1,,13170
01034408,3,1,1,,10183
01034408,3,2,0,,10183
01034408,3,3,0,,10183
01034408,3,4,0,,10183
01034408,3,5,0,,10183
01034408,4,1,0,,7941
01034408,4,2,0,,7941
01034408,4,3,0,,7941
01034408,4,4,0,,7941
01034408,4,5,1,,7941
01034408,5,1,1,,11380
01034408,5,2,0,,11380
01034408,5,3,0,,11380
01034408,5,4,0,,11380
01034408,5,5,0,,11380
01034408,6,1,1,,7019
01034408,6,2,0,,7019
01034408,7,-1,-1,I was focusing on the pixels that distinguish the original symbol from the target symbol and modify only those necessary to achieve the desired transformation.,193364
01034408,8,1,0,,14960
01034408,8,2,1,,14960
01034408,9,-1,-1,No it did not,20407
01034408,10,-1,-1,,4638
01094556,2,1,0,,8146
01094556,2,2,0,,8146
01094556,2,3,0,,8146
01094556,2,4,0,,8146
01094556,2,5,1,,8146
01094556,3,1,1,,4662
01094556,3,2,0,,4662
01094556,3,3,0,,4662
01094556,3,4,0,,4662
01094556,3,5,0,,4662
01094556,4,1,0,,4943
01094556,4,2,0,,4943
01094556,4,3,0,,4943
01094556,4,4,1,,4943
01094556,4,5,0,,4943
01094556,5,1,1,,4172
01094556,5,2,0,,4172
01094556,5,3,0,,4172
01094556,5,4,0,,4172
01094556,5,5,0,,4172
01094556,6,1,0,,4696
01094556,6,2,1,,4696
01094556,7,-1,-1,,4751
01094556,8,1,0,,9126
01094556,8,2,1,,9126
01094556,9,-1,-1,,2807
01094556,10,-1,-1,,3639
01244135,2,1,0,,8145
01244135,2,2,0,,8145
01244135,2,3,0,,8145
01244135,2,4,1,,8145
01244135,2,5,0,,8145
01244135,3,1,0,,12383
01244135,3,2,0,,12383
01244135,3,3,1,,12383
01244135,3,4,0,,12383
01244135,3,5,0,,12383
01244135,4,1,0,,9518
01244135,4,2,0,,9518
01244135,4,3,0,,9518
01244135,4,4,1,,9518
01244135,4,5,0,,9518
01244135,5,1,1,,6572
01244135,5,2,0,,6572
01244135,5,3,0,,6572
01244135,5,4,0,,6572
01244135,5,5,0,,6572
01244135,6,1,0,,8118
01244135,6,2,1,,8118
01244135,7,-1,-1,i didnt follow any specific strategy,37615
01244135,8,1,0,,9922
01244135,8,2,1,,9922
01244135,9,-1,-1,,7126
01244135,10,-1,-1,,5897
01304647,2,1,0,,1784
01304647,2,2,0,,1784
01304647,2,3,0,,1784
01304647,2,4,0,,1784
01304647,2,5,1,,1784
01304647,3,1,0,,1784
01304647,3,2,0,,1784
01304647,3,3,0,,1784
01304647,3,4,0,,1784
01304647,3,5,1,,1784
01304647,4,1,0,,1566
01304647,4,2,0,,1566
01304647,4,3,0,,1566
01304647,4,4,0,,1566
01304647,4,5,1,,1566
01304647,5,1,0,,2206
01304647,5,2,0,,2206
01304647,5,3,0,,2206
01304647,5,4,0,,2206
01304647,5,5,1,,2206
01304647,6,1,0,,2281
01304647,6,2,1,,2281
01304647,7,-1,-1,,641
01304647,8,1,0,,3043
01304647,8,2,1,,3043
01304647,9,-1,-1,,686
01304647,10,-1,-1,,545
01405861,2,1,0,,4095
01405861,2,2,0,,4095
01405861,2,3,0,,4095
01405861,2,4,0,,4095
01405861,2,5,1,,4095
01405861,3,1,0,,2768
01405861,3,2,0,,2768
01405861,3,3,0,,2768
01405861,3,4,0,,2768
01405861,3,5,1,,2768
01405861,4,1,0,,3577
01405861,4,2,0,,3577
01405861,4,3,0,,3577
01405861,4,4,0,,3577
01405861,4,5,1,,3577
01405861,5,1,1,,3049
01405861,5,2,0,,3049
01405861,5,3,0,,3049
01405861,5,4,0,,3049
01405861,5,5,0,,3049
01405861,6,1,0,,3903
01405861,6,2,1,,3903
01405861,7,-1,-1,,1689
01405861,8,1,0,,3757
01405861,8,2,1,,3757
01405861,9,-1,-1,,2654
01405861,10,-1,-1,,1633
01429850,2,1,0,,9289
01429850,2,2,0,,9289
01429850,2,3,0,,9289
01429850,2,4,0,,9289
01429850,2,5,1,,9289
01429850,3,1,0,,14301
01429850,3,2,0,,14301
01429850,3,3,1,,14301
01429850,3,4,0,,14301
01429850,3,5,0,,14301
01429850,4,1,0,,7508
01429850,4,2,0,,7508
01429850,4,3,0,,7508
01429850,4,4,1,,7508
01429850,4,5,0,,7508
01429850,5,1,1,,6150
01429850,5,2,0,,6150
01429850,5,3,0,,6150
01429850,5,4,0,,6150
01429850,5,5,0,,6150
01429850,6,1,0,,9419
01429850,6,2,1,,9419
01429850,7,-1,-1,,5245
01429850,8,1,0,,7111
01429850,8,2,1,,7111
01429850,9,-1,-1,,3504
01429850,10,-1,-1,,8272
01453526,2,1,0,,7053
01453526,2,2,0,,7053
01453526,2,3,0,,7053
01453526,2,4,0,,7053
01453526,2,5,1,,7053
01453526,3,1,1,,6245
01453526,3,2,0,,6245
01453526,3,3,0,,6245
01453526,3,4,0,,6245
01453526,3,5,0,,6245
01453526,4,1,0,,3730
01453526,4,2,0,,3730
01453526,4,3,0,,3730
01453526,4,4,0,,3730
01453526,4,5,1,,3730
01453526,5,1,1,,3424
01453526,5,2,0,,3424
01453526,5,3,0,,3424
01453526,5,4,0,,3424
01453526,5,5,0,,3424
01453526,6,1,0,,4709
01453526,6,2,1,,4709
01453526,7,-1,-1,,12440
01453526,8,1,0,,6519
01453526,8,2,1,,6519
01453526,9,-1,-1,It basically happened no matter what  maybe a higher percent threshold would be better.,32469
01453526,10,-1,-1,Thanks.,6045
01482139,2,1,0,,6515
01482139,2,2,0,,6515
01482139,2,3,0,,6515
01482139,2,4,0,,6515
01482139,2,5,1,,6515
01482139,3,1,1,,5320
01482139,3,2,0,,5320
01482139,3,3,0,,5320
01482139,3,4,0,,5320
01482139,3,5,0,,5320
01482139,4,1,0,,4898
01482139,4,2,0,,4898
01482139,4,3,0,,4898
01482139,4,4,1,,4898
01482139,4,5,0,,4898
01482139,5,1,0,,4868
01482139,5,2,0,,4868
01482139,5,3,0,,4868
01482139,5,4,0,,4868
01482139,5,5,1,,4868
01482139,6,1,1,,6879
01482139,6,2,0,,6879
01482139,7,-1,-1,identify the parts that are not needed and erase them  add those parts that are needed to complete the asked symbol,37610
01482139,8,1,1,,7460
01482139,8,2,0,,7460
01482139,9,-1,-1,,81874
01482139,10,-1,-1,,3093
01551376,2,1,0,,8752
01551376,2,2,0,,8752
01551376,2,3,0,,8752
01551376,2,4,0,,8752
01551376,2,5,1,,8752
01551376,3,1,0,,6275
01551376,3,2,0,,6275
01551376,3,3,0,,6275
01551376,3,4,1,,6275
01551376,3,5,0,,6275
01551376,4,1,0,,7784
01551376,4,2,0,,7784
01551376,4,3,1,,7784
01551376,4,4,0,,7784
01551376,4,5,0,,7784
01551376,5,1,1,,5956
01551376,5,2,0,,5956
01551376,5,3,0,,5956
01551376,5,4,0,,5956
01551376,5,5,0,,5956
01551376,6,1,0,,7674
01551376,6,2,1,,7674
01551376,7,-1,-1,,37
01551376,8,1,1,,6401
01551376,8,2,0,,6401
01551376,9,-1,-1,2% was a really small amount...at least a 10% to be able to annotate well.,49467
01551376,10,-1,-1,None at the moment,18474
01596389,2,1,0,,5934
01596389,2,2,0,,5934
01596389,2,3,0,,5934
01596389,2,4,0,,5934
01596389,2,5,1,,5934
01596389,3,1,0,,5896
01596389,3,2,1,,5896
01596389,3,3,0,,5896
01596389,3,4,0,,5896
01596389,3,5,0,,5896
01596389,4,1,0,,4729
01596389,4,2,0,,4729
01596389,4,3,0,,4729
01596389,4,4,1,,4729
01596389,4,5,0,,4729
01596389,5,1,1,,3998
01596389,5,2,0,,3998
01596389,5,3,0,,3998
01596389,5,4,0,,3998
01596389,5,5,0,,3998
01596389,6,1,0,,5377
01596389,6,2,1,,5377
01596389,7,-1,-1,,3095
01596389,8,1,0,,5474
01596389,8,2,1,,5474
01596389,9,-1,-1,,2708
01596389,10,-1,-1,,2033
01686541,2,1,0,,4528
01686541,2,2,0,,4528
01686541,2,3,0,,4528
01686541,2,4,0,,4528
01686541,2,5,1,,4528
01686541,3,1,0,,6337
01686541,3,2,0,,6337
01686541,3,3,1,,6337
01686541,3,4,0,,6337
01686541,3,5,0,,6337
01686541,4,1,0,,7204
01686541,4,2,0,,7204
01686541,4,3,0,,7204
01686541,4,4,0,,7204
01686541,4,5,1,,7204
01686541,5,1,1,,7795
01686541,5,2,0,,7795
01686541,5,3,0,,7795
01686541,5,4,0,,7795
01686541,5,5,0,,7795
01686541,6,1,0,,6276
